incident_id,match_id,referee_id,offending_team,opponent_team,official_decision,model_decision,model_confidence,data_origin
I0001,M0001,R01,White,Blue,no_offence,no_offence,0.938,synthetic
I0002,M0002,R01,White,Black,no_offence,no_offence,0.645,synthetic
I0003,M0003,R01,Black,White,no_offence,no_offence,0.907,synthetic
I0004,M0004,R01,Red,Gold,no_offence,foul_no_card,0.739,synthetic
I0005,M0005,R01,White,Gold,foul_no_card,foul_no_card,0.874,synthetic
I0006,M0006,R01,Blue,Gold,foul_no_card,no_offence,0.949,synthetic
I0007,M0007,R01,White,Gold,yellow,foul_no_card,0.908,synthetic
I0008,M0008,R01,White,Black,yellow,yellow,0.831,synthetic
I0009,M0009,R01,White,Red,red,yellow,0.959,synthetic
I0010,M0010,R01,Gold,Green,no_offence,foul_no_card,0.877,synthetic
I0011,M0011,R01,White,Green,yellow,yellow,0.712,synthetic
I0012,M0012,R01,Black,Red,no_offence,no_offence,0.922,synthetic
I0013,M0013,R01,Black,Red,foul_no_card,yellow,0.857,synthetic
I0014,M0014,R01,Blue,Green,foul_no_card,foul_no_card,0.911,synthetic
I0015,M0015,R01,White,Green,foul_no_card,foul_no_card,0.923,synthetic
I0016,M0016,R01,Red,Green,no_offence,no_offence,0.94,synthetic
I0017,M0017,R01,Gold,Black,foul_no_card,foul_no_card,0.902,synthetic
I0018,M0018,R01,Blue,White,yellow,yellow,0.929,synthetic
I0019,M0019,R01,Black,Blue,foul_no_card,foul_no_card,0.86,synthetic
I0020,M0020,R01,Black,Blue,yellow,yellow,0.94,synthetic
I0021,M0021,R01,White,Green,no_offence,no_offence,0.973,synthetic
I0022,M0022,R01,White,Green,yellow,red,0.837,synthetic
I0023,M0023,R01,White,Green,yellow,yellow,0.88,synthetic
I0024,M0024,R01,Red,Black,yellow,red,0.916,synthetic
I0025,M0025,R01,Gold,Blue,no_offence,no_offence,0.949,synthetic
I0026,M0026,R01,Red,Blue,foul_no_card,foul_no_card,0.727,synthetic
I0027,M0027,R01,Blue,Black,yellow,yellow,0.908,synthetic
I0028,M0028,R01,Green,Black,yellow,yellow,0.906,synthetic
I0029,M0029,R01,White,Red,yellow,yellow,0.88,synthetic
I0030,M0030,R01,Black,Gold,no_offence,no_offence,0.914,synthetic
I0031,M0031,R01,Red,Black,foul_no_card,foul_no_card,0.857,synthetic
I0032,M0032,R01,Blue,Green,no_offence,no_offence,0.854,synthetic
I0033,M0033,R01,Red,Black,foul_no_card,foul_no_card,0.885,synthetic
I0034,M0034,R01,Blue,White,yellow,yellow,0.958,synthetic
I0035,M0035,R01,Blue,White,no_offence,no_offence,0.837,synthetic
I0036,M0036,R01,Red,White,foul_no_card,foul_no_card,0.894,synthetic
I0037,M0037,R01,Blue,Gold,foul_no_card,yellow,0.924,synthetic
I0038,M0038,R01,Black,Blue,yellow,red,0.847,synthetic
I0039,M0039,R01,Gold,White,foul_no_card,foul_no_card,0.671,synthetic
I0040,M0040,R01,Gold,Green,foul_no_card,yellow,0.931,synthetic
I0041,M0041,R01,White,Black,yellow,yellow,0.855,synthetic
I0042,M0042,R01,Blue,Black,yellow,yellow,0.828,synthetic
I0043,M0043,R01,Gold,Black,yellow,yellow,0.691,synthetic
I0044,M0044,R01,Red,Blue,foul_no_card,foul_no_card,0.839,synthetic
I0045,M0045,R01,Black,Red,foul_no_card,foul_no_card,0.925,synthetic
I0046,M0046,R01,Black,White,foul_no_card,foul_no_card,0.87,synthetic
I0047,M0047,R01,Green,Gold,no_offence,no_offence,0.969,synthetic
I0048,M0048,R01,Blue,White,yellow,foul_no_card,0.832,synthetic
